CSVNumber,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StartDateTime,EndDateTime
4,L418,,Chilling and chatting,2021-02-24 00:00:00,22.0,Wednesday,21:30,23:00,90.0,1.0,2021-02-24 21:30:00,2021-02-24 23:00:00
4,S801,,Zzzz,2021-02-24 00:00:00,22.0,Wednesday,23:00,07:00,480.0,1.0,2021-02-24 23:00:00,2021-02-24 07:00:00
4,ED145,,Tea,2021-02-25 00:00:00,22.0,Thursday,07:00,07:15,15.0,1.0,2021-02-25 07:00:00,2021-02-25 07:15:00
4,R523,,The Complacent Class - Tyler Cowen,2021-02-25 00:00:00,22.0,Thursday,07:15,08:00,45.0,1.0,2021-02-25 07:15:00,2021-02-25 08:00:00
4,L418,,Waiting for GF to go for a walk...,2021-02-25 00:00:00,22.0,Thursday,08:00,08:15,15.0,1.0,2021-02-25 08:00:00,2021-02-25 08:15:00
4,X893,L418,Walking and work out,2021-02-25 00:00:00,22.0,Thursday,08:15,09:00,45.0,2.0,2021-02-25 08:15:00,2021-02-25 09:00:00
4,O733,,"Shower, teeth and change clothes",2021-02-25 00:00:00,22.0,Thursday,09:00,09:15,15.0,1.0,2021-02-25 09:00:00,2021-02-25 09:15:00
4,CW982,,Starting on task 2,2021-02-25 00:00:00,22.0,Thursday,09:15,10:30,75.0,0.0,2021-02-25 09:15:00,2021-02-25 10:30:00
4,O733,,Monitor and laptop stand arrived so I built it,2021-02-25 00:00:00,22.0,Thursday,10:30,11:15,45.0,2.0,2021-02-25 10:30:00,2021-02-25 11:15:00
4,CW982,,Continue working on task 2,2021-02-25 00:00:00,22.0,Thursday,11:15,12:00,45.0,0.0,2021-02-25 11:15:00,2021-02-25 12:00:00
4,ED145,,Egg fried rice with veggies,2021-02-25 00:00:00,22.0,Thursday,12:00,12:30,30.0,2.0,2021-02-25 12:00:00,2021-02-25 12:30:00
4,L418,UD415,NBA highlights,2021-02-25 00:00:00,22.0,Thursday,12:30,13:00,30.0,2.0,2021-02-25 12:30:00,2021-02-25 13:00:00
4,CW982,,Continuing with task 2,2021-02-25 00:00:00,22.0,Thursday,13:00,17:00,240.0,1.0,2021-02-25 13:00:00,2021-02-25 17:00:00
4,L418,UD415,YouTube - Veritasium,2021-02-25 00:00:00,22.0,Thursday,17:00,17:45,45.0,2.0,2021-02-25 17:00:00,2021-02-25 17:45:00
4,X893,L418,Walking and throwing ball around in park,2021-02-25 00:00:00,22.0,Thursday,17:45,18:45,60.0,2.0,2021-02-25 17:45:00,2021-02-25 18:45:00
4,ED145,L418,Paellaaaa,2021-02-25 00:00:00,22.0,Thursday,18:45,19:45,60.0,2.0,2021-02-25 18:45:00,2021-02-25 19:45:00
4,L418,,Chatting,2021-02-25 00:00:00,22.0,Thursday,19:45,21:30,105.0,0.0,2021-02-25 19:45:00,2021-02-25 21:30:00
4,R523,,The Complacent Class - Tyler Cowen,2021-02-25 00:00:00,22.0,Thursday,21:30,22:00,30.0,0.0,2021-02-25 21:30:00,2021-02-25 22:00:00
4,L418,,Chatting,2021-02-25 00:00:00,22.0,Thursday,22:00,23:00,60.0,0.0,2021-02-25 22:00:00,2021-02-25 23:00:00
4,S801,,Zzzz,2021-02-25 00:00:00,22.0,Thursday,23:00,07:00,480.0,2.0,2021-02-25 23:00:00,2021-02-25 07:00:00
